lat,lon,id,name,geometry,index_right,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,lad22cd,lad22nm,LSOA name,10th percentile (£),20th percentile (£),30th percentile (£),40th percentile (£),50th percentile (£),60th percentile (£),70th percentile (£),80th percentile (£),90th percentile (£),Percentage of occupied addresses with income information (%),Population,IMD Score,Station Name,Start Count,End Count,Total Demand,Normalized Demand
51.511654,-0.179668,BikePoints_524,"Lancaster Gate , Bayswater",POINT (-0.179668 51.511654),4878,E01004694,Westminster 016C,E02000975,Westminster 016,E09000033,Westminster,Westminster 016C," 11,330 "," 19,455 "," 27,314 "," 36,159 ",43581.0," 51,243 "," 65,219 "," 89,259 "," 137,727 ",90.4,2283.0,8.5,"Lancaster Gate , Bayswater",15476.0,11282,26758.0,0.2097334242559629
51.496927,-0.2135,BikePoints_525,"Blythe Road, Olympia",POINT (-0.2135 51.496927),2021,E01001866,Hammersmith and Fulham 012A,E02000383,Hammersmith and Fulham 012,E09000013,Hammersmith and Fulham,Hammersmith and Fulham 012A," 8,853 "," 15,929 "," 21,163 "," 25,740 ",31818.0," 39,816 "," 48,232 "," 61,247 "," 80,408 ",90.7,1530.0,14.1,"Blythe Road, Olympia",9050.0,8750,17800.0,0.13951920740549142
51.503143,-0.008428,BikePoints_526,"Lancaster Drive, Blackwall",POINT (-0.008428 51.503143),4530,E01032780,Tower Hamlets 035D,E02007113,Tower Hamlets 035,E09000030,Tower Hamlets,Tower Hamlets 028I," 13,634 "," 18,193 "," 27,575 "," 35,819 ",44284.0," 53,759 "," 66,031 "," 81,896 "," 115,163 ",96.3,1896.0,16.2,"Lancaster Drive, Blackwall",3338.0,3461,6799.0,0.05329163433426608
51.503802,-0.215808,BikePoints_527,"Hansard Mews, Holland Park",POINT (-0.215808 51.503802),2953,E01002869,Kensington and Chelsea 009E,E02000585,Kensington and Chelsea 009,E09000020,Kensington and Chelsea,Kensington and Chelsea 009E," 12,219 "," 17,804 "," 22,776 "," 27,063 ",35926.0," 42,903 "," 50,822 "," 69,876 "," 113,984 ",92.4,1541.0,19.7,"Hansard Mews, Holland Park",5932.0,6380,12312.0,0.09650339784137137
51.507326,-0.145827,BikePoints_528,"Clarges Street, Mayfair",POINT (-0.145827 51.507326),4988,E01004761,Westminster 018D,E02000977,Westminster 018,E09000033,Westminster,Westminster 018D," 9,466 "," 16,006 "," 22,857 "," 29,687 ",38876.0," 47,354 "," 58,329 "," 82,309 "," 173,644 ",88.3,2356.0,8.5,"Clarges Street, Mayfair",5131.0,6138,11269.0,0.08832819934002711
51.486892,-0.170983,BikePoints_529,"Manresa Road, Chelsea",POINT (-0.170983 51.486892),2966,E01002910,Kensington and Chelsea 019C,E02000595,Kensington and Chelsea 019,E09000020,Kensington and Chelsea,Kensington and Chelsea 019C," 11,704 "," 17,670 "," 21,919 "," 26,716 ",30893.0," 37,187 "," 47,948 "," 67,451 "," 119,308 ",91.3,1530.0,16.3,"Manresa Road, Chelsea",9449.0,9535,18984.0,0.14879958614527242
51.508896,-0.012413,BikePoints_530,"Newby Place, Poplar",POINT (-0.012413 51.508896),4461,E01004257,Tower Hamlets 024D,E02000887,Tower Hamlets 024,E09000030,Tower Hamlets,Tower Hamlets 024D," 10,198 "," 13,104 "," 15,859 "," 18,136 ",21366.0," 25,285 "," 28,904 "," 34,541 "," 43,553 ",98.5,2406.0,33.0,"Newby Place, Poplar",3191.0,3322,6513.0,0.05104992122651492
51.530326,-0.042744,BikePoints_531,"Twig Folly Bridge, Mile End",POINT (-0.042744 51.530326),4423,E01032786,Tower Hamlets 010F,E02000873,Tower Hamlets 010,E09000030,Tower Hamlets,Tower Hamlets 010F," 8,916 "," 12,523 "," 15,551 "," 18,411 ",20709.0," 25,055 "," 29,047 "," 37,299 "," 50,460 ",98.2,1749.0,26.7,"Twig Folly Bridge, Mile End",12535.0,10676,23211.0,0.18193147882521693
51.5034,-0.020242,BikePoints_532,"Jubilee Plaza, Canary Wharf",POINT (-0.020242 51.5034),4529,E01032771,Tower Hamlets 033B,E02006854,Tower Hamlets 033,E09000030,Tower Hamlets,Tower Hamlets 033B," 12,179 "," 18,346 "," 22,447 "," 30,900 ",40148.0," 52,810 "," 66,942 "," 87,787 "," 124,332 ",88.4,1852.0,13.2,"Jubilee Plaza, Canary Wharf",13521.0,15336,28857.0,0.2261857173090037
51.528222,-0.069743,BikePoints_533,"Wellington Row, Bethnal Green",POINT (-0.069743 51.528222),4497,E01035664,Tower Hamlets 006E,E02000869,Tower Hamlets 006,E09000030,Tower Hamlets,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,"Wellington Row, Bethnal Green",10874.0,10589,21463.0,0.1682303791316889
